# AGE CLASS LOOKUP FILE
# Generated from return table
# Step 1: Find the age class that accounts for most recruits by brood year (median % over all years)
# Step 2: get main cohort for each age from MainAge-2 to MainAge+1 (excluding any 2-yr olds)
# Step 3: Calculate ocean-entry offset from brood year and from return year for each age based on the dominant age class for that age
System,River,Age,Label,Euro,GR,Perc_Med,FW_Winters,Mar_Winters,MarineEntryOffset_BrYr,MarineEntryOffset_RetYr
Bristol Bay,Alagnak,3,AgeClass_1.1,1.1,3_2,0.03,1,1,2,-1
Bristol Bay,Alagnak,4,AgeClass_1.2,1.2,4_2,26.19,1,2,2,-2
Bristol Bay,Alagnak,5,AgeClass_1.3,1.3,5_2,48.019999999999996,1,3,2,-3
Bristol Bay,Alagnak,6,AgeClass_2.3,2.3,6_3,2.785,2,3,3,-3
Bristol Bay,Egegik,3,AgeClass_1.1,1.1,3_2,0.01,1,1,2,-1
Bristol Bay,Egegik,4,AgeClass_1.2,1.2,4_2,6.105,1,2,2,-2
Bristol Bay,Egegik,5,AgeClass_2.2,2.2,5_3,46.235,2,2,3,-2
Bristol Bay,Egegik,6,AgeClass_2.3,2.3,6_3,30.15,2,3,3,-3
Bristol Bay,Igushik,3,AgeClass_0.2,0.2,3_1,0,0,2,1,-2
Bristol Bay,Igushik,4,AgeClass_1.2,1.2,4_2,23.39,1,2,2,-2
Bristol Bay,Igushik,5,AgeClass_1.3,1.3,5_2,65.85,1,3,2,-3
Bristol Bay,Igushik,6,AgeClass_2.3,2.3,6_3,2.965,2,3,3,-3
Bristol Bay,Kvichak,3,AgeClass_1.1,1.1,3_2,0.01,1,1,2,-1
Bristol Bay,Kvichak,4,AgeClass_1.2,1.2,4_2,32.815,1,2,2,-2
Bristol Bay,Kvichak,5,AgeClass_2.2,2.2,5_3,38.75,2,2,3,-2
Bristol Bay,Kvichak,6,AgeClass_2.3,2.3,6_3,7.154999999999999,2,3,3,-3
Bristol Bay,Naknek,3,AgeClass_1.1,1.1,3_2,0.055,1,1,2,-1
Bristol Bay,Naknek,4,AgeClass_1.2,1.2,4_2,18.36,1,2,2,-2
Bristol Bay,Naknek,5,AgeClass_1.3,1.3,5_2,37.004999999999995,1,3,2,-3
Bristol Bay,Naknek,6,AgeClass_2.3,2.3,6_3,17.765,2,3,3,-3
Bristol Bay,Nushagak,3,AgeClass_0.2,0.2,3_1,0.15500000000000003,0,2,1,-2
Bristol Bay,Nushagak,4,AgeClass_1.2,1.2,4_2,8.315,1,2,2,-2
Bristol Bay,Nushagak,5,AgeClass_1.3,1.3,5_2,74.34,1,3,2,-3
Bristol Bay,Nushagak,6,AgeClass_1.4,1.4,6_2,1.6,1,4,2,-4
Bristol Bay,Ugashik,3,AgeClass_1.1,1.1,3_2,0.055,1,1,2,-1
Bristol Bay,Ugashik,4,AgeClass_1.2,1.2,4_2,25.505000000000003,1,2,2,-2
Bristol Bay,Ugashik,5,AgeClass_1.3,1.3,5_2,28.854999999999997,1,3,2,-3
Bristol Bay,Ugashik,6,AgeClass_2.3,2.3,6_3,9.925,2,3,3,-3
Bristol Bay,Wood,3,AgeClass_1.1,1.1,3_2,0.07,1,1,2,-1
Bristol Bay,Wood,4,AgeClass_1.2,1.2,4_2,47.525000000000006,1,2,2,-2
Bristol Bay,Wood,5,AgeClass_1.3,1.3,5_2,44.64,1,3,2,-3
Columbia River,Bonneville Lock & Dam,3,AgeClass_1.1,1.1,3_2,4.535,1,1,2,-1
Columbia River,Bonneville Lock & Dam,4,AgeClass_1.2,1.2,4_2,78.82,1,2,2,-2
Columbia River,Bonneville Lock & Dam,5,AgeClass_1.3,1.3,5_2,6.4350000000000005,1,3,2,-3
Fraser River,Chilko,3,AgeClass_1.1,1.1,3_2,0.53,1,1,2,-1
Fraser River,Chilko,4,AgeClass_1.2,1.2,4_2,89.97,1,2,2,-2
Fraser River,Chilko,5,AgeClass_1.3,1.3,5_2,3.955,1,3,2,-3
Fraser River,Late Stuart,3,AgeClass_1.1,1.1,3_2,0.1,1,1,2,-1
Fraser River,Late Stuart,4,AgeClass_1.2,1.2,4_2,95.34,1,2,2,-2
Fraser River,Late Stuart,5,AgeClass_1.3,1.3,5_2,4.645,1,3,2,-3
Fraser River,Quesnel,3,AgeClass_1.1,1.1,3_2,0.01,1,1,2,-1
Fraser River,Quesnel,4,AgeClass_1.2,1.2,4_2,97.16,1,2,2,-2
Fraser River,Quesnel,5,AgeClass_1.3,1.3,5_2,2.015,1,3,2,-3
Fraser River,Raft,3,AgeClass_1.1,1.1,3_2,0.04,1,1,2,-1
Fraser River,Raft,4,AgeClass_1.2,1.2,4_2,79.41,1,2,2,-2
Fraser River,Raft,5,AgeClass_1.3,1.3,5_2,19.384999999999998,1,3,2,-3
Fraser River,Stellako,3,AgeClass_1.1,1.1,3_2,0.03,1,1,2,-1
Fraser River,Stellako,4,AgeClass_1.2,1.2,4_2,88.26,1,2,2,-2
Fraser River,Stellako,5,AgeClass_1.3,1.3,5_2,12.17,1,3,2,-3
