# FULL DATA LONG FORMAT FILE
# Generated from return table
# NOTE: total recruit calculations use ages 3-6. For last brood years of Bristol Bay stocks total recruits and age comp are incorrect. Need to fix/exclude.
System,River,ReturnYear,Total_Returns,Label,ReturnsByAgeClass,Age,FW_Winters,Mar_Winters,Euro,GR,BroodYear,RecruitsByAgeClass,MarineEntryYear,Total_Recruits,PercOfBrdYr,Total_Spawners_BroodYear,TotRecPerTotSpn,Total_EFS_BroodYear,PercEFS
Bristol Bay,Alagnak,1963,378138.281,AgeClass_3.4,0,8,3,4,3.4,8_4,1955,0,1959,NA,NA,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_1.5,0,7,1,5,1.5,7_2,1956,0,1958,NA,NA,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_2.4,0,7,2,4,2.4,7_3,1956,0,1959,NA,NA,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_3.3,8.97e-10,7,3,3,3.3,7_4,1956,8.97e-10,1960,NA,NA,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_0.5,0,6,0,5,0.5,6_1,1957,0,1958,13499.398790000898,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_1.4,0,6,1,4,1.4,6_2,1957,0,1959,13499.398790000898,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_2.3,13499.39879,6,2,3,2.3,6_3,1957,13499.39879,1960,13499.398790000898,100,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_3.2,8.98e-10,6,3,2,3.2,6_4,1957,8.98e-10,1961,13499.398790000898,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_0.4,0,5,0,4,0.4,5_1,1958,0,1959,41916.189203232,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_1.3,13119.73011,5,1,3,1.3,5_2,1958,13119.73011,1960,41916.189203232,31.3,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_2.2,20219.16203,5,2,2,2.2,5_3,1958,20219.16203,1961,41916.189203232,48.24,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_3.1,0,5,3,1,3.1,5_4,1958,0,1962,41916.189203232,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_0.3,0,4,0,3,0.3,4_1,1959,0,1960,1007787.5745917071,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_1.2,331299.9901,4,1,2,1.2,4_2,1959,331299.9901,1961,1007787.5745917071,32.87,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_2.1,5.95e-10,4,2,1,2.1,4_3,1959,5.95e-10,1962,1007787.5745917071,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_0.2,0,3,0,2,0.2,3_1,1960,0,1961,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_1.1,0,3,1,1,1.1,3_2,1960,0,1962,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.281,AgeClass_0.1,0,2,0,1,0.1,2_1,1961,0,1962,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_3.4,0,8,3,4,3.4,8_4,1956,0,1960,NA,NA,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_1.5,0,7,1,5,1.5,7_2,1957,0,1959,13499.398790000898,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_2.4,0,7,2,4,2.4,7_3,1957,0,1960,13499.398790000898,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_3.3,1.56e-6,7,3,3,3.3,7_4,1957,1.56e-6,1961,13499.398790000898,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_0.5,0,6,0,5,0.5,6_1,1958,0,1959,41916.189203232,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_1.4,0,6,1,4,1.4,6_2,1958,0,1960,41916.189203232,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_2.3,8577.297063,6,2,3,2.3,6_3,1958,8577.297063,1961,41916.189203232,20.46,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_3.2,2.32e-7,6,3,2,3.2,6_4,1958,2.32e-7,1962,41916.189203232,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_0.4,0,5,0,4,0.4,5_1,1959,0,1960,1007787.5745917071,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_1.3,338122.2324,5,1,3,1.3,5_2,1959,338122.2324,1961,1007787.5745917071,33.55,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_2.2,286853.6594,5,2,2,2.2,5_3,1959,286853.6594,1962,1007787.5745917071,28.46,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_3.1,0,5,3,1,3.1,5_4,1959,0,1963,1007787.5745917071,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_0.3,0,4,0,3,0.3,4_1,1960,0,1961,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_1.2,121361.3428,4,1,2,1.2,4_2,1960,121361.3428,1962,448153.5196680737,27.08,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_2.1,8.07e-6,4,2,1,2.1,4_3,1960,8.07e-6,1963,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_0.2,1.39744e-4,3,0,2,0.2,3_1,1961,1.39744e-4,1962,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_1.1,4468.518531,3,1,1,1.1,3_2,1961,4468.518531,1963,294558.5376342537,1.52,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.0503,AgeClass_0.1,0,2,0,1,0.1,2_1,1962,0,1963,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_3.4,0,8,3,4,3.4,8_4,1957,0,1961,13499.398790000898,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_1.5,0,7,1,5,1.5,7_2,1958,0,1960,41916.189203232,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_2.4,0,7,2,4,2.4,7_3,1958,0,1961,41916.189203232,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_3.3,6.47e-9,7,3,3,3.3,7_4,1958,6.47e-9,1962,41916.189203232,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_0.5,0,6,0,5,0.5,6_1,1959,0,1960,1007787.5745917071,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_1.4,6.47e-9,6,1,4,1.4,6_2,1959,6.47e-9,1961,1007787.5745917071,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_2.3,50738.89377,6,2,3,2.3,6_3,1959,50738.89377,1962,1007787.5745917071,5.03,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_3.2,772.7989217,6,3,2,3.2,6_4,1959,772.7989217,1963,1007787.5745917071,0.08,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_0.4,0,5,0,4,0.4,5_1,1960,0,1961,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_1.3,116448.3441,5,1,3,1.3,5_2,1960,116448.3441,1962,448153.5196680737,25.98,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_2.2,166914.9386,5,2,2,2.2,5_3,1960,166914.9386,1963,448153.5196680737,37.25,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_3.1,0,5,3,1,3.1,5_4,1960,0,1964,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_0.3,727.0738165,4,0,3,0.3,4_1,1961,727.0738165,1962,294558.5376342537,0.25,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_1.2,50293.24503,4,1,2,1.2,4_2,1961,50293.24503,1963,294558.5376342537,17.07,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_2.1,6.47e-9,4,2,1,2.1,4_3,1961,6.47e-9,1964,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_0.2,0,3,0,2,0.2,3_1,1962,0,1963,252128.54070980265,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_1.1,11965.31397,3,1,1,1.1,3_2,1962,11965.31397,1964,252128.54070980265,4.75,NA,NA,NA,NA
Bristol Bay,Alagnak,1965,397860.6083,AgeClass_0.1,0,2,0,1,0.1,2_1,1963,0,1964,414873.3282990054,0,203304,2.040655020555451,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_3.4,0,8,3,4,3.4,8_4,1958,0,1962,41916.189203232,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_1.5,0,7,1,5,1.5,7_2,1959,0,1961,1007787.5745917071,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_2.4,1.83e-9,7,2,4,2.4,7_3,1959,1.83e-9,1962,1007787.5745917071,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_3.3,1312.321188,7,3,3,3.3,7_4,1959,1312.321188,1963,1007787.5745917071,0.13,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_0.5,0,6,0,5,0.5,6_1,1960,0,1961,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_1.4,1.83e-9,6,1,4,1.4,6_2,1960,1.83e-9,1962,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_2.3,43428.89416,6,2,3,2.3,6_3,1960,43428.89416,1963,448153.5196680737,9.69,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_3.2,1.83e-9,6,3,2,3.2,6_4,1960,1.83e-9,1964,448153.5196680737,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_0.4,0,5,0,4,0.4,5_1,1961,0,1962,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_1.3,232930.7438,5,1,3,1.3,5_2,1961,232930.7438,1963,294558.5376342537,79.08,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_2.2,6138.956317,5,2,2,2.2,5_3,1961,6138.956317,1964,294558.5376342537,2.08,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_3.1,0,5,3,1,3.1,5_4,1961,0,1965,294558.5376342537,0,NA,NA,NA,NA
Bristol Bay,Alagnak,1966,394077.159,AgeClass_0.3,1.83e-9,4,0,3,0.3,4_1,1962,1.83e-9,1963,252128.54070980265,0,NA,NA,NA,NA
