# SR DATA LONG FORMAT FILE
# Generated from return table and spawner files
# NOTE: total recruit calculations use ages 3-6. For last brood years of Bristol Bay stocks total recruits and age comp are incorrect. Need to fix/exclude.
System,River,BroodYear,Total_Spawners_BroodYear,Total_Recruits,TotRecPerTotSpn
Bristol Bay,Alagnak,1948,NA,NA,NA
Bristol Bay,Alagnak,1949,NA,NA,NA
Bristol Bay,Alagnak,1950,NA,NA,NA
Bristol Bay,Alagnak,1951,NA,NA,NA
Bristol Bay,Alagnak,1952,NA,NA,NA
Bristol Bay,Alagnak,1953,NA,NA,NA
Bristol Bay,Alagnak,1954,NA,NA,NA
Bristol Bay,Alagnak,1955,NA,NA,NA
Bristol Bay,Alagnak,1956,NA,NA,NA
Bristol Bay,Alagnak,1957,NA,13499.398790000898,NA
Bristol Bay,Alagnak,1958,NA,41916.189203232,NA
Bristol Bay,Alagnak,1959,NA,1007787.5745917071,NA
Bristol Bay,Alagnak,1960,NA,448153.5196680737,NA
Bristol Bay,Alagnak,1961,NA,294558.5376342537,NA
Bristol Bay,Alagnak,1962,NA,252128.54070980265,NA
Bristol Bay,Alagnak,1963,203304,414873.3282990054,2.040655020555451
Bristol Bay,Alagnak,1964,248700,381899.90304700535,1.5355846523803995
Bristol Bay,Alagnak,1965,175020,259728.90813360165,1.483995589838885
Bristol Bay,Alagnak,1966,174336,565583.86624001,3.2442172944200283
Bristol Bay,Alagnak,1967,202626,389348.76779240207,1.9215143554746286
Bristol Bay,Alagnak,1968,193872,249192.08594400156,1.2853433499628701
Bristol Bay,Alagnak,1969,182490,180184.62416501014,0.9873671114308189
Bristol Bay,Alagnak,1970,177060,145641.7545459024,0.822555938924107
Bristol Bay,Alagnak,1971,187302,323740.6169030064,1.7284418580848384
Bristol Bay,Alagnak,1972,151188,124167.55661626087,0.8212791796720696
Bristol Bay,Alagnak,1973,35280,429274.463423067,12.16764352106199
Bristol Bay,Alagnak,1974,214848,2277656.544788376,10.6012462056355
Bristol Bay,Alagnak,1975,100480,1022274.0250801413,10.173905504380386
Bristol Bay,Alagnak,1976,81822,329805.1628561007,4.030763888148673
Bristol Bay,Alagnak,1977,108910.5,1000901.3780795916,9.190127472370355
Bristol Bay,Alagnak,1978,584970,2159047.38904003,3.6908685728157513
Bristol Bay,Alagnak,1979,750210,2108355.8466120823,2.810354229631813
Bristol Bay,Alagnak,1980,759645,643094.9961231482,0.846573065212235
Bristol Bay,Alagnak,1981,209635.5,1182706.204200584,5.641726731400855
Bristol Bay,Alagnak,1982,610215,773488.0032421873,1.2675663548785057
Bristol Bay,Alagnak,1983,245361,454515.9674231346,1.852437703722819
Bristol Bay,Alagnak,1984,549193.5,2460579.7701775576,4.480351224436483
Bristol Bay,Alagnak,1985,300976.5,1644527.483214071,5.463973045118377
Bristol Bay,Alagnak,1986,586959,2023511.7592046924,3.4474499227453577
Bristol Bay,Alagnak,1987,393235.5,770409.0316241505,1.9591543276844294
Bristol Bay,Alagnak,1988,496306.5,1273820.86613015,2.566601215438746
Bristol Bay,Alagnak,1989,501738,2740066.4023235966,5.461149847776323
Bristol Bay,Alagnak,1990,430338,1282074.4722297906,2.9792267292913723
Bristol Bay,Alagnak,1991,707851.95,3434249.088783852,4.851648835302145
Bristol Bay,Alagnak,1992,577939.65,186844.2374382917,0.3232936820276852
Bristol Bay,Alagnak,1993,887336.25,1506976.6751710137,1.6983152386381304
Bristol Bay,Alagnak,1994,618464.25,1563774.9290185266,2.5284807149621447
Bristol Bay,Alagnak,1995,550068.15,3896294.9096784294,7.083294878422663
Bristol Bay,Alagnak,1996,782212.5,1421299.7220902,1.8170250693899677
Bristol Bay,Alagnak,1997,556193.25,1380935.999581849,2.4828348772334956
Bristol Bay,Alagnak,1998,643110,2777780.1497270335,4.319292422333712
Bristol Bay,Alagnak,1999,1182180,3715855.2672931775,3.1432229163859797
Bristol Bay,Alagnak,2000,1150000,9751334.599301003,8.479421390696524
Bristol Bay,Alagnak,2001,680850,1677183.6240172472,2.4633672967867333
Bristol Bay,Alagnak,2002,767000,3727487.510642756,4.859827262897987
Bristol Bay,Alagnak,2003,3676146,6701447.4480990125,1.8229546509031502
Bristol Bay,Alagnak,2004,5400000,2514459.3964790097,0.4656406289775944
Bristol Bay,Alagnak,2005,4218990,2839947.698603012,0.673134493943577
Bristol Bay,Alagnak,2006,1773966,2439834.278127499,1.3753557160213323
Bristol Bay,Alagnak,2007,2470000,2209579.344233512,0.8945665361269279
Bristol Bay,Alagnak,2008,2180502,1924725.4049027003,0.8826982983288713
Bristol Bay,Alagnak,2009,971000,1405166.248468889,1.447133108618835
Bristol Bay,Alagnak,2010,1190000,6499066.194064222,5.461400163079178
Bristol Bay,Alagnak,2011,883794,6167785.964852199,6.978759716463564
Bristol Bay,Alagnak,2012,861747,2828305.3297400046,3.282059966254602
Bristol Bay,Alagnak,2013,1100000,3928289.4480339,3.5711722254853635
Bristol Bay,Alagnak,2014,189000,2284292.7237073695,12.08620488734058
Bristol Bay,Alagnak,2015,5450000,4685159.162243295,0.8596622316042744
Bristol Bay,Alagnak,2016,1677769,5078132.196460545,3.0267171442913448
Bristol Bay,Alagnak,2017,2040000,6532354.5371394195,3.202134577029127
Bristol Bay,Alagnak,2018,1581426,2348227.730172369,1.4848799312597423
Bristol Bay,Alagnak,2019,820000,1322345.159618,1.6126160483146341
Bristol Bay,Alagnak,2020,2386518,3469291.3973714327,1.453704265952083
Bristol Bay,Alagnak,2021,3240000,1.5606799999999998e-4,4.816913580246913e-11
Bristol Bay,Alagnak,2022,1668222,NA,NA
Bristol Bay,Alagnak,2023,1099050,NA,NA
Bristol Bay,Alagnak,2024,2356560,NA,NA
Bristol Bay,Egegik,1948,NA,NA,NA
Bristol Bay,Egegik,1949,NA,NA,NA
Bristol Bay,Egegik,1950,NA,NA,NA
Bristol Bay,Egegik,1951,NA,NA,NA
Bristol Bay,Egegik,1952,NA,NA,NA
Bristol Bay,Egegik,1953,NA,NA,NA
Bristol Bay,Egegik,1954,NA,NA,NA
Bristol Bay,Egegik,1955,NA,NA,NA
Bristol Bay,Egegik,1956,NA,NA,NA
Bristol Bay,Egegik,1957,NA,796121.64826,NA
Bristol Bay,Egegik,1958,NA,1446142.50535128,NA
Bristol Bay,Egegik,1959,NA,2101702.8717377,NA
Bristol Bay,Egegik,1960,NA,7080512.773842402,NA
Bristol Bay,Egegik,1961,NA,1478997.4295277144,NA
Bristol Bay,Egegik,1962,NA,1077831.5237369095,NA
Bristol Bay,Egegik,1963,997602,986397.687180002,0.9887687546536614
Bristol Bay,Egegik,1964,849576,1933606.0181519017,2.275965914940984
Bristol Bay,Egegik,1965,1444608,2364674.5929240007,1.6368970633722093
Bristol Bay,Egegik,1966,804246,2051596.4967841038,2.550956419782136
Bristol Bay,Egegik,1967,636864,1628056.2777275054,2.5563641181280548
Bristol Bay,Egegik,1968,338654,359434.27231900394,1.0613613668198336
Bristol Bay,Egegik,1969,1015554,2755727.7073092214,2.713521592460097
Bristol Bay,Egegik,1970,919734,1168465.6161711249,1.2704386444027564
Bristol Bay,Egegik,1971,634014,2636492.5286781685,4.158413739567531
Bristol Bay,Egegik,1972,546402,2895928.712524371,5.299996545628257
Bristol Bay,Egegik,1973,328842,1444367.10698587,4.392282941308805
Bristol Bay,Egegik,1974,1275630,2438846.1256149015,1.9118757991070308
Bristol Bay,Egegik,1975,1173840,3037388.852235006,2.5875663226973065
Bristol Bay,Egegik,1976,509160,4480474.6899941135,8.799738176593042
Bristol Bay,Egegik,1977,692514,4159896.1003150316,6.006948740841386
Bristol Bay,Egegik,1978,895698,9906309.60665671,11.059876885576065
Bristol Bay,Egegik,1979,1032042,4038170.8198930123,3.912796979089041
Bristol Bay,Egegik,1980,1060860,8222418.1600089995,7.750709952311332
Bristol Bay,Egegik,1981,694680,5433972.377495004,7.822266910656711
Bristol Bay,Egegik,1982,1034628,6434047.300451103,6.218705950787242
Bristol Bay,Egegik,1983,792282,10786507.9318847,13.614480616604569
Bristol Bay,Egegik,1984,1165345,11720584.168322008,10.057608835428143
Bristol Bay,Egegik,1985,1095192,6371750.8792929,5.817930444427004
Bristol Bay,Egegik,1986,1150000,14112087.063487008,12.271380055206095
Bristol Bay,Egegik,1987,1270000,25621309.01032501,20.17425906324804
Bristol Bay,Egegik,1988,1610000,19298440.107250005,11.986608762267084
Bristol Bay,Egegik,1989,1610000,10105641.989997014,6.276796267078891
Bristol Bay,Egegik,1990,2190000,16008510.927949019,7.309822341529232
Bristol Bay,Egegik,1991,2786925,9940866.3733106,3.5669658757629286
Bristol Bay,Egegik,1992,1945632,8638984.35180969,4.440194421046575
Bristol Bay,Egegik,1993,1520000,1932160.2751823142,1.2711580757778382
Bristol Bay,Egegik,1994,1900000,7949786.728877883,4.184098278356781
Bristol Bay,Egegik,1995,1266692,7494223.784646146,5.9163741340800655
Bristol Bay,Egegik,1996,1076460,4149100.5512298997,3.8543936153966705
Bristol Bay,Egegik,1997,1104004,6020256.384933599,5.453111025805703
Bristol Bay,Egegik,1998,1110938,1269503.604866106,1.1427312819132176
Bristol Bay,Egegik,1999,1730000,12991585.438124612,7.509586958453533
Bristol Bay,Egegik,2000,1032138,12006756.198065594,11.632898118338433
Bristol Bay,Egegik,2001,968872,4785675.193111757,4.9394297627671735
Bristol Bay,Egegik,2002,1036092,5292215.4314546995,5.107862459564112
Bristol Bay,Egegik,2003,1150000,8794302.869240003,7.647219886295654
Bristol Bay,Egegik,2004,1290000,14131898.164219009,10.954959817224038
Bristol Bay,Egegik,2005,1621734,6166123.307674673,3.802179215379756
