# SPAWNER DATA FOR 2025 SOCKEYE INTERNATIONAL,,,,,,,,,,,,,,
# Note: These values were extracted as-is from source files provided by the agencies.,,,,,,,,,,,,,,
# The values are consistent within each system but variable definitions differ between agencies,,,,,,,,,,,,,,
# Columbia Aggregate (Bonneville Lock & Dam) : Count of returning adults at Bonneville,,,,,,,,,,,,,,
# Fraser Stocks (Chilko / Late Stuart / Quesnel / Raft / Stellako): total brood year spawners ,,,,,,,,,,,,,,
# Bristol Bay Stocks (Rest): total brood year escapement,,,,,,,,,,,,,,
BroodYear,Bonneville Lock & Dam,Chilko,Late Stuart,Quesnel,Raft,Stellako,Igushik,Wood,Nushagak,Kvichak,Alagnak,Naknek,Egegik,Ugashik
1948,NA,671025,1049,100,10359,16213,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,58310,107752,30664,6113,104835,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,26447,5843,398,6404,145108,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,118110,4402,49,8561,96208,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,490065,1975,7017,15617,40466,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,201245,369023,110927,7909,43688,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,37743,5470,299,9995,141882,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,132146,7618,63,5081,51746,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,647768,1454,2669,9037,38459,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,140765,531130,223667,6881,38921,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,137081,23638,1863,10215,112273,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,471162,8225,76,10210,79355,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,426607,2961,3057,5553,38884,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,40315,411105,302563,7301,47241,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,92467,18689,1078,7613,124495,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,1002252,3237,86,8724,138805,92184,721404,234820.8018,338760,203304,905358,997602,388254
1964,NA,238601,1900,15839,5201,31047,128532,1076112,134852.6266,957120,248700,1349604,849576,472770
