"","System","River","BroodYear","Total_Recruits","AgeClass_0.1","AgeClass_0.2","AgeClass_0.3","AgeClass_0.4","AgeClass_0.5","AgeClass_1.1","AgeClass_1.2","AgeClass_1.3","AgeClass_1.4","AgeClass_1.5","AgeClass_2.1","AgeClass_2.2","AgeClass_2.3","AgeClass_2.4","AgeClass_3.1","AgeClass_3.2","AgeClass_3.3","AgeClass_3.4"
"1","Columbia River","Bonneville Lock & Dam",1980,NA,NA,NA,NA,0,0,NA,NA,1732,0,0,NA,12143,158,0,0,0,0,0
"2","Columbia River","Bonneville Lock & Dam",1981,NA,NA,NA,0,0,0,NA,150419,9094,0,0,585,2371,0,0,0,0,0,0
"3","Columbia River","Bonneville Lock & Dam",1982,NA,NA,0,0,0,0,1461,21928,2611,0,0,510,12805,0,0,0,0,0,0
"4","Columbia River","Bonneville Lock & Dam",1983,121493,0,0,0,0,0,24062,76905,13259,0,0,1673,5384,210,0,0,0,0,0
"5","Columbia River","Bonneville Lock & Dam",1984,90540,0,0,0,0,0,22999,58466,3809,0,0,2057,3052,157,0,0,0,0,0
"6","Columbia River","Bonneville Lock & Dam",1985,47821,0,0,0,0,0,547,33993,5001,0,0,523,7681,76,0,0,0,0,0
"7","Columbia River","Bonneville Lock & Dam",1986,43800,0,0,0,0,0,298,29089,13678,0,0,393,342,0,0,0,0,0,0
"8","Columbia River","Bonneville Lock & Dam",1987,87441,0,0,0,0,0,7260,56355,5755,0,0,1958,15129,984,0,0,0,0,0
"9","Columbia River","Bonneville Lock & Dam",1988,76799,0,0,0,0,0,4072,56044,8043,0,0,2894,5640,106,0,0,0,0,0
"10","Columbia River","Bonneville Lock & Dam",1989,80861,0,0,0,0,0,5170,65510,8583,0,0,0,1503,95,0,0,0,0,0
"11","Columbia River","Bonneville Lock & Dam",1990,2607,0,0,0,0,0,0,1899,303,0,0,146,259,0,0,0,0,0,0
"12","Columbia River","Bonneville Lock & Dam",1991,9610,0,0,0,0,0,440,4860,1095,0,0,764,2110,341,0,0,0,0,0
"13","Columbia River","Bonneville Lock & Dam",1992,33691,0,0,0,0,0,2451,26262,2333,0,0,232,2343,70,0,0,0,0,0
"14","Columbia River","Bonneville Lock & Dam",1993,50984,0,0,0,0,0,534,41379,7485,0,0,298,1158,130,0,0,0,0,0
"15","Columbia River","Bonneville Lock & Dam",1994,3319,0,0,0,0,0,315,1373,559,0,0,194,760,118,0,0,0,0,0
"16","Columbia River","Bonneville Lock & Dam",1995,18830,0,0,0,0,0,2939,14403,598,0,0,466,424,0,0,0,0,0,0
"17","Columbia River","Bonneville Lock & Dam",1996,113163,0,0,0,0,0,1558,88006,12394,0,0,427,8810,508,0,0,1425,35,0
"18","Columbia River","Bonneville Lock & Dam",1997,124912,0,0,0,0,0,3825,92046,6887,0,0,513,20446,343,0,46,806,0,0
"19","Columbia River","Bonneville Lock & Dam",1998,32802,0,0,0,0,0,1171,19533,6025,0,0,116,492,235,0,5230,0,0,0
"20","Columbia River","Bonneville Lock & Dam",1999,16813,0,0,0,0,0,458,12359,337,0,0,2373,784,0,0,235,267,0,0
"21","Columbia River","Bonneville Lock & Dam",2000,136515,0,0,0,0,0,9713,120481,5447,0,0,0,483,104,0,287,0,0,0
"22","Columbia River","Bonneville Lock & Dam",2001,80051,0,0,0,0,0,1218,64751,6815,0,0,783,5359,610,0,515,0,0,0
"23","Columbia River","Bonneville Lock & Dam",2002,30479,0,0,0,0,0,804,23338,2665,0,0,734,2660,278,0,0,0,0,0
"24","Columbia River","Bonneville Lock & Dam",2003,16645,0,0,0,0,0,201,7226,1080,0,0,1482,6530,126,0,0,0,0,0
"25","Columbia River","Bonneville Lock & Dam",2004,217244,0,0,0,0,0,9734,186773,10593,0,0,3687,6457,0,0,0,0,0,0
"26","Columbia River","Bonneville Lock & Dam",2005,179140,0,0,0,0,0,15260,140752,10030,0,0,1758,11156,184,0,0,0,0,0
"27","Columbia River","Bonneville Lock & Dam",2006,405877,0,0,0,0,0,18137,357747,20655,0,0,1413,7639,0,0,0,286,0,0
"28","Columbia River","Bonneville Lock & Dam",2007,142250,0,0,0,0,0,6178,120868,6391,0,0,3721,5092,0,0,0,0,0,0
"29","Columbia River","Bonneville Lock & Dam",2008,565794,0,0,0,0,0,32729,494616,24784,0,0,2475,11190,0,0,0,0,0,0
"30","Columbia River","Bonneville Lock & Dam",2009,132065,0,0,0,0,0,6637,116445,3675,0,0,889,4419,0,0,0,0,0,0
