"","System","River","BroodYear","Total_Recruits","AgeClass_0.1","AgeClass_0.2","AgeClass_0.3","AgeClass_0.4","AgeClass_0.5","AgeClass_1.1","AgeClass_1.2","AgeClass_1.3","AgeClass_1.4","AgeClass_1.5","AgeClass_2.1","AgeClass_2.2","AgeClass_2.3","AgeClass_2.4","AgeClass_3.1","AgeClass_3.2","AgeClass_3.3","AgeClass_3.4"
"1","Fraser River","Chilko",1948,1947973,0,0,0,0,NA,32000,1643062,11182,0,0,6131,254316,1282,NA,NA,0,NA,NA
"2","Fraser River","Chilko",1949,623138,0,0,0,0,NA,3732,560635,10368,0,0,621,46358,1424,NA,NA,0,NA,NA
"3","Fraser River","Chilko",1950,205875,0,0,0,0,NA,1489,183278,4705,0,0,954,15449,0,NA,NA,0,NA,NA
"4","Fraser River","Chilko",1951,752327,0,0,0,0,NA,3925,644911,20763,0,0,5004,74115,3609,NA,NA,0,NA,NA
"5","Fraser River","Chilko",1952,1858476,0,0,0,0,NA,18732,1763929,35975,0,0,114,38833,893,NA,NA,0,NA,NA
"6","Fraser River","Chilko",1953,619456,0,0,0,0,NA,1172,514554,14004,0,0,2583,86362,781,NA,NA,0,NA,NA
"7","Fraser River","Chilko",1954,712749,0,0,0,0,NA,12234,632132,4415,0,0,2844,58891,2233,NA,NA,0,NA,NA
"8","Fraser River","Chilko",1955,1513275,0,0,0,0,NA,32418,1407963,31011,0,0,1373,40510,0,NA,NA,0,NA,NA
"9","Fraser River","Chilko",1956,2435670,0,0,0,0,NA,13905,2379854,16684,0,0,75,25152,0,NA,NA,0,NA,NA
"10","Fraser River","Chilko",1957,138228,0,0,0,0,NA,76,117362,3149,0,0,63,17578,0,NA,NA,0,NA,NA
"11","Fraser River","Chilko",1958,433371,0,0,0,0,NA,4055,278320,13613,0,0,1711,130581,5091,NA,NA,0,NA,NA
"12","Fraser River","Chilko",1959,2212583,0,0,0,0,NA,23792,2080497,18659,0,0,1272,88363,0,NA,NA,0,NA,NA
"13","Fraser River","Chilko",1960,1053335,0,0,0,0,NA,5472,958877,5980,0,0,1045,81961,0,NA,NA,0,NA,NA
"14","Fraser River","Chilko",1961,69453,0,0,0,0,NA,256,52713,11583,0,0,409,4492,0,NA,NA,0,NA,NA
"15","Fraser River","Chilko",1962,985562,0,0,0,0,NA,10657,960609,13582,0,0,0,696,18,NA,NA,0,NA,NA
"16","Fraser River","Chilko",1963,1206303,0,0,0,0,NA,37579,1112861,4045,0,0,3971,47006,841,NA,NA,0,NA,NA
"17","Fraser River","Chilko",1964,2040082,0,0,0,0,NA,7252,1818921,55810,0,0,1343,156756,0,NA,NA,0,NA,NA
"18","Fraser River","Chilko",1965,158944,0,0,0,0,NA,1787,138555,2360,0,0,1782,14460,0,NA,NA,0,NA,NA
"19","Fraser River","Chilko",1966,889200,0,0,0,0,NA,26456,744469,27636,0,0,1479,89160,0,NA,NA,0,NA,NA
"20","Fraser River","Chilko",1967,2004710,0,0,0,0,NA,28734,1933329,23351,0,0,5300,13996,0,NA,NA,0,NA,NA
"21","Fraser River","Chilko",1968,2476069,0,0,0,0,NA,46952,2349375,21925,0,0,1108,55581,1128,NA,NA,0,NA,NA
"22","Fraser River","Chilko",1969,402359,0,0,0,0,NA,4126,369954,15839,0,0,294,12146,0,NA,NA,0,NA,NA
"23","Fraser River","Chilko",1970,694456,0,0,0,0,NA,16775,630046,1084,0,0,5423,41128,0,NA,NA,0,NA,NA
"24","Fraser River","Chilko",1971,852842,0,0,0,0,NA,58786,740253,0,0,0,13222,40581,0,NA,NA,0,NA,NA
"25","Fraser River","Chilko",1972,2109574,0,0,0,0,NA,42709,1947465,34424,0,0,1309,83501,166,NA,NA,0,NA,NA
"26","Fraser River","Chilko",1973,248297,0,0,0,0,NA,8835,200775,6807,0,0,2893,27243,1744,NA,NA,0,NA,NA
"27","Fraser River","Chilko",1974,712467,0,0,0,0,NA,26487,641497,4312,0,0,3815,36356,0,NA,NA,0,NA,NA
"28","Fraser River","Chilko",1975,1513636,0,0,0,0,NA,22821,1389008,7375,0,0,20230,73812,390,NA,NA,0,NA,NA
"29","Fraser River","Chilko",1976,1699113,0,0,0,0,NA,8457,1650944,25168,0,0,334,14210,0,NA,NA,0,NA,NA
"30","Fraser River","Chilko",1977,199200,0,0,0,0,NA,3346,190527,2743,0,0,0,2584,0,NA,NA,0,NA,NA
"31","Fraser River","Chilko",1978,1265579,0,0,0,0,NA,8616,1169034,77743,0,0,397,9789,0,NA,NA,0,NA,NA
"32","Fraser River","Chilko",1979,1721513,0,0,0,0,NA,9358,1615466,72206,0,0,1371,15308,7804,NA,NA,0,NA,NA
"33","Fraser River","Chilko",1980,4441927,0,0,0,0,NA,12504,3920494,473961,0,0,414,32179,2375,NA,NA,0,NA,NA
"34","Fraser River","Chilko",1981,208706,0,0,0,0,NA,1722,180656,4547,0,0,2919,18862,0,NA,NA,0,NA,NA
"35","Fraser River","Chilko",1982,1599217,0,0,0,0,NA,52424,1355953,131741,0,0,182,57505,1412,NA,NA,0,NA,NA
"36","Fraser River","Chilko",1983,2119741,0,0,0,0,NA,45476,1717330,36418,0,0,5243,310875,4399,NA,NA,0,NA,NA
"37","Fraser River","Chilko",1984,676358,0,0,0,0,NA,11108,500714,2890,0,0,1951,153893,5802,NA,NA,0,NA,NA
"38","Fraser River","Chilko",1985,572968,0,0,0,0,NA,970,366037,184400,0,0,1563,18862,1136,NA,NA,0,NA,NA
"39","Fraser River","Chilko",1986,4800439,0,0,0,0,NA,47835,4413216,279555,0,0,335,54465,5033,NA,NA,0,NA,NA
"40","Fraser River","Chilko",1987,4420836,0,0,0,0,NA,11552,4032356,316979,0,0,863,56111,2975,NA,NA,0,NA,NA
"41","Fraser River","Chilko",1988,3296360,0,0,0,0,NA,2697,2979547,157913,0,0,797,155406,0,NA,NA,0,NA,NA
"42","Fraser River","Chilko",1989,3117371,0,0,0,0,NA,11841,3015024,86942,0,0,0,3564,0,NA,NA,0,NA,NA
"43","Fraser River","Chilko",1990,2628585,0,0,0,0,NA,13262,2412516,178745,0,0,4715,19347,0,NA,NA,0,NA,NA
"44","Fraser River","Chilko",1991,1382549,0,0,0,0,NA,4495,1126703,128342,0,0,537,122472,0,NA,NA,0,NA,NA
"45","Fraser River","Chilko",1992,1866349,0,0,0,0,NA,3754,1773513,78754,0,0,614,9714,0,NA,NA,0,NA,NA
"46","Fraser River","Chilko",1993,3963871,0,0,0,0,NA,18173,3380892,548667,0,0,208,15931,0,NA,NA,0,NA,NA
"47","Fraser River","Chilko",1994,1419987,0,0,0,0,NA,10606,1331935,72717,0,0,184,4545,0,NA,NA,0,NA,NA
"48","Fraser River","Chilko",1995,1274336,0,0,0,0,NA,2778,1045307,179013,0,0,36,44788,2414,NA,NA,0,NA,NA
"49","Fraser River","Chilko",1996,1363890,0,0,0,0,NA,359,1175834,159331,0,0,0,26555,1811,NA,NA,0,NA,NA
"50","Fraser River","Chilko",1997,885013,0,0,0,0,NA,222,663879,204615,0,0,0,16297,0,NA,NA,0,NA,NA
"51","Fraser River","Chilko",1998,536366,0,0,0,0,NA,1084,423716,73801,0,0,0,34730,3035,NA,NA,0,NA,NA
"52","Fraser River","Chilko",1999,1570589,0,0,0,0,NA,2228,1449980,109275,0,0,0,9106,0,NA,NA,0,NA,NA
"53","Fraser River","Chilko",2000,501890,0,0,0,0,NA,3918,424960,27152,0,0,59,42236,3565,NA,NA,0,NA,NA
"54","Fraser River","Chilko",2001,1158636,0,0,0,0,NA,176,1001606,89122,0,0,0,67732,0,NA,NA,0,NA,NA
"55","Fraser River","Chilko",2002,1239287,0,0,0,0,NA,4514,1119367,106118,0,0,0,8734,554,NA,NA,0,NA,NA
"56","Fraser River","Chilko",2003,384660,0,0,0,0,NA,557,321849,29357,0,0,0,30465,2432,NA,NA,0,NA,NA
"57","Fraser River","Chilko",2004,427715,0,0,0,0,NA,854,388845,35584,0,0,0,2432,0,NA,NA,0,NA,NA
"58","Fraser River","Chilko",2005,337649,0,0,0,0,NA,720,262920,27406,0,0,216,46387,0,NA,NA,0,NA,NA
"59","Fraser River","Chilko",2006,4993883,0,0,0,0,NA,5283,4462878,405912,0,0,369,119441,0,NA,NA,0,NA,NA
"60","Fraser River","Chilko",2007,1221458,0,0,0,0,NA,2996,1164212,20850,0,0,537,32863,0,NA,NA,0,NA,NA
"61","Fraser River","Chilko",2008,573561,0,0,0,0,NA,2364,496271,59565,0,0,0,15361,0,NA,NA,0,NA,NA
"62","Fraser River","Chilko",2009,1853975,0,0,0,0,NA,1271,1628663,221342,0,0,0,0,2699,NA,NA,0,NA,NA
