System,stock,Brood.Year,Recruits,X0.1,X0.2,X0.3,X0.4,X0.5,X1.1,X1.2,X1.3,X1.4,X1.5,X2.1,X2.2,X2.3,X2.4,X3.1,X3.2,X3.3,X3.4,Escapement
Bristol Bay,Alagnak,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Bristol Bay,Alagnak,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,8.97383959825892e-10,0,NA
Bristol Bay,Alagnak,1957,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,13499.3987865245,0,NA,8.98101120497911e-10,1.56490725357031e-6,0,NA
Bristol Bay,Alagnak,1958,NA,NA,NA,NA,0,0,NA,NA,13119.730112112,0,0,NA,20219.1620337071,8577.2970628815,0,0,2.31742454758138e-7,6.472748217699021e-9,0,NA
Bristol Bay,Alagnak,1959,NA,NA,NA,0,0,0,NA,331299.990064692,338122.232404937,6.472749308848111e-9,0,5.94688772462506e-10,286853.65940287,50738.8937718332,1.8338446166899301e-9,0,772.798921727466,1312.32118843721,0,NA
Bristol Bay,Alagnak,1960,NA,NA,0,0,0,0,0,121361.342761154,116448.344108643,1.8338446166899301e-9,0,8.07157218338651e-6,166914.93864006,43428.8941591372,0,0,1.8339313175012102e-9,1.07349935010011e-9,0,NA
Bristol Bay,Alagnak,1961,NA,0,1.3974434253725e-4,727.073816454792,0,0,4468.51853051731,50293.2450260829,232930.743783171,1.07023568731815e-9,0,6.472763733368961e-9,6138.95631741,1.07349935010011e-9,8.08803322833379e-10,0,1.0750117076603e-9,8.089737832152901e-10,0,NA
Bristol Bay,Alagnak,1962,NA,0,0,1.83263578030635e-9,0,0,11965.3139715437,110266.243567286,104885.029508684,8.08803322833379e-10,0,0,1626.32571067297,22573.0166335278,0,0,812.611298777955,2.15680963519131e-9,0,NA
Bristol Bay,Alagnak,1963,414873.328244359,0,0,1.07349935010011e-9,0,0,0,231001.909353708,151684.161192015,2.1571068725590802e-9,0,415.023382200934,30953.023329648,819.210986777643,0,0,2.1568794832249603e-9,4.553159291704951e-9,0,203304
Bristol Bay,Alagnak,1964,381899.903027084,0,0,8.089737832152901e-10,0,0,6377.29762212629,97650.4215483889,90731.091836029,0,0,1880.28152504957,112243.297590412,73017.5129050708,0,0,4.5545952019129405e-9,1.6584391276187401e-9,0,248700
Bristol Bay,Alagnak,1965,259728.90811455,0,0,0,0,0,8480.04184744772,110322.958582639,88347.8488845848,5497.06030308381,0,509.92968359188,29040.2718764478,17530.7969367517,9.71791819301795e-10,0,1.6584155287880502e-9,6.491050910375151e-10,0,175020
Bristol Bay,Alagnak,1966,565583.866239861,0,2.1568794832249603e-9,4.553159291704951e-9,1.6585627530433902e-9,0,9662.46648980595,304544.093668233,229247.6170294,9.71791819301795e-10,0,0,13317.4626320725,8812.22642033874,0,0,6.49787373867388e-10,4.46313522383945e-10,0,174336
