System,River,2020,2021,2022,2023,2024
Bristol Bay,Alagnak,2866729,4496167,3195409,2838331,2055828
Bristol Bay,Egegik,7320986,17391734,13690943,11257318,15795828
Bristol Bay,Igushik,1211249,950218,1309950,876763,704915
Bristol Bay,Kvichak,9600874,5259704,10494704,4796797,8613429
Bristol Bay,Nushagak,1645097,3750166,4909028,3239002,4568996
Bristol Bay,Naknek,3631254,5288779,6653640,4471514,4736717
Bristol Bay,Ugashik,3235985,4300992,5334965,6172599,5632731
Bristol Bay,Wood,5545994,18456463,18958495,14448671,8852819
Columbia River,Bonneville Lock & Dam,600383,156850,284308,115306,419458
Fraser River,Chilko,1125476,1359021,327288,806099,199628
Fraser River,Late Stuart,11383,236254,133166,15893,18738
Fraser River,Quesnel,27189,192943,2420908,179047,6048
Fraser River,Raft,38522,34181,16898,13996,32704
Fraser River,Stellako,203688,211129,387459,152022,115299
NA,NA,NA,NA,NA,NA,NA
"INSTRUCTIONS: If you are entering the retrospecitve analysis portion of the 2025 Salmon Prize competition, please enter the retrospective forecasting values from your model(s) above (2020-2024) and upload in STEP 3 of the competition.",NA,NA,NA,NA,NA,NA
